,Period,Time,grid_node,Domestic_electricity,SolarGains
289,1,5,63,4.95691561657658,0.0
290,1,5,66,39.669349285177454,0.0
291,1,5,68,25.54462129735273,0.0
292,1,5,69,3.362313253012047,0.0
293,1,5,71,8.66871005198808,0.0
294,1,5,72,10.681831387951812,0.0
295,1,5,76,10.9584227836267,0.0
296,1,5,81,9.54255801828839,0.0
297,1,5,104,0.55055421686747,0.0
298,1,5,110,17.55762212147801,0.0
299,1,5,111,11.9807430218281,0.0
300,1,5,113,19.421102055850337,0.0
301,1,5,114,12.7938313253012,0.0
302,1,5,119,1.2877798529817908,0.0
303,1,5,121,3.7805616,0.0
304,1,5,123,33.685265359701106,0.0
305,1,5,125,7.79729856,0.0
306,1,5,126,13.542544601064881,0.0
307,1,5,133,19.18288221882659,0.0
308,1,5,135,10.636183132530121,0.0
309,1,5,136,21.49452522360865,0.0
310,1,5,137,1.8037975903614423,0.0
311,1,5,142,1.07226987951807,0.0
312,1,5,149,1.2347424,0.0
313,1,5,159,2.692626506024098,0.0
314,1,5,160,1.934028,0.0
315,1,5,166,4.665675606384516,0.0
316,1,5,178,1.1510424,0.0
317,1,5,183,2.9204604,0.0
318,1,5,185,58.269893668935,0.0
319,1,5,189,8.77973700156912,0.0
320,1,6,0,1.55200749142259,0.0
321,1,6,1,1.817088150361446,0.0
322,1,6,5,16.53945318072288,0.0
323,1,6,9,4.73345542168674,0.0
324,1,6,13,5.04146621375137,0.0
325,1,6,14,3.44751807228916,0.0
326,1,6,16,0.029016,0.0
327,1,6,17,7.263035136,0.0
328,1,6,20,12.51593253012048,0.0
329,1,6,21,0.7616,0.0
330,1,6,23,6.888122332530118,0.0
331,1,6,25,6.496584192,0.0
332,1,6,28,11.513853012048191,0.0
333,1,6,33,9.56765696638039,0.0
334,1,6,34,5.687432751807231,0.0
335,1,6,36,5.3117136,0.0
336,1,6,37,28.38013157128896,0.0
337,1,6,41,1.28724819277108,0.0
338,1,6,42,36.159283511077255,0.0
339,1,6,44,17.809510177733124,0.0
340,1,6,46,18.242951617333944,0.0
341,1,6,47,0.569831325301205,0.0
342,1,6,49,9.10588718854649,0.0
343,1,6,50,6.28825824,0.0
344,1,6,51,5.55566265060241,0.0
345,1,6,54,5.24139703742285,0.0
346,1,6,55,51.70403795180724,0.0
347,1,6,56,2.0816192771084303,0.0
348,1,6,57,5.961654404819278,0.0
349,1,6,58,4.437992530120487,0.0
350,1,6,59,16.30097847807229,0.0
351,1,6,60,38.72632944710759,0.0
352,1,6,62,3.5150466498735105,0.0
353,1,6,63,4.95691561657658,0.0
354,1,6,66,39.745347234828955,0.0
355,1,6,68,25.58695196848151,0.0
356,1,6,69,3.362313253012047,0.0
357,1,6,71,8.7134941375431,0.0
358,1,6,72,10.681831387951812,0.0
359,1,6,76,11.2749203836267,0.0
360,1,6,81,9.67719399092333,0.0
361,1,6,104,0.55055421686747,0.0
362,1,6,110,17.55762212147801,0.0
363,1,6,111,12.4466657660234,0.0
364,1,6,113,20.745212421171658,0.0
365,1,6,114,12.7938313253012,0.0
366,1,6,119,1.3434133263662367,0.0
367,1,6,121,3.7805616,0.0
368,1,6,123,35.1876245597011,0.0
369,1,6,125,7.79729856,0.0
370,1,6,126,14.621418433676528,0.0
371,1,6,133,19.18288221882659,0.0
372,1,6,135,10.636183132530121,0.0
373,1,6,136,23.48217139404375,0.0
374,1,6,137,1.8523759036144543,0.0
375,1,6,142,1.07226987951807,0.0
376,1,6,149,1.2347424,0.0
377,1,6,159,2.789783132530122,0.0
378,1,6,160,1.934028,0.0
379,1,6,166,5.008957206384516,0.0
380,1,6,178,1.1510424,0.0
381,1,6,183,2.9204604,0.0
382,1,6,185,65.043567268935,0.0
383,1,6,189,8.82259140156912,0.0
384,1,7,0,2.01695590470865,0.0
385,1,7,1,4.20339128289671,0.0
386,1,7,5,75.60958818826906,0.0
387,1,7,9,19.70400209062362,0.0
388,1,7,13,25.833030561409,0.0
389,1,7,14,14.3510178616284,0.0
390,1,7,16,0.0546992876171058,0.0
391,1,7,17,21.0060517126001,0.0
392,1,7,20,52.1001971645734,0.0
393,1,7,21,3.17031991543958,0.0
394,1,7,23,34.497808192760374,0.0
395,1,7,25,18.7893326876523,0.0
396,1,7,28,31.0260896847539,0.0
397,1,7,33,28.90246167784045,0.0
398,1,7,34,15.07814728333792,0.0
399,1,7,36,15.362466031738247,0.0
400,1,7,37,127.69281370892787,0.0
401,1,7,41,5.35844088977912,0.0
402,1,7,42,126.23840520196298,0.0
403,1,7,44,70.21457515845154,0.0
404,1,7,46,75.06829041214266,0.0
405,1,7,47,2.363076110377407,0.0
406,1,7,49,11.2266999517882,0.0
407,1,7,50,7.588919194055508,0.0
408,1,7,51,23.1166371685046,0.0
409,1,7,54,66.80961325271687,0.0
410,1,7,55,216.44597276941437,0.0
411,1,7,56,8.66517732481592,0.0
412,1,7,57,7.6597227128220755,0.0
413,1,7,58,12.877460394488816,0.0
414,1,7,59,65.15205532496054,0.0
415,1,7,60,69.96594438149137,0.0
416,1,7,62,4.42724458629405,0.0
417,1,7,63,6.379233271552181,0.0
418,1,7,66,156.32612688819813,0.0
419,1,7,68,105.73814220352585,0.0
420,1,7,69,13.9963349106756,0.0
421,1,7,71,35.0955104574836,0.0
422,1,7,72,23.30640542275124,0.0
423,1,7,76,42.666351972904096,0.0
424,1,7,81,95.1164718915641,0.0
425,1,7,104,2.29179752923343,0.0
426,1,7,110,108.82593791078864,0.0
427,1,7,111,127.854587505731,0.0
428,1,7,113,79.87873023387067,0.0
429,1,7,114,53.2570092507578,0.0
430,1,7,119,5.426649971528487,0.0
431,1,7,121,146.23509711158655,0.0
