,osmid,longitude,latitude,el_dmd,lv_grid,consumers,label,source,voltage,trafo,moved_from_water,cluster_area,grid_id,r,g,b,size,geometry
106,79,6.6312693065917925,46.52337281030387,0,-1,False,3788064149,false,0.9962147872186575,,,,632_0,255,0,0,0,POINT (6.631269 46.523373)
107,178,6.631438006591985,46.523340810303864,0,-1,False,8515374278,false,0.9962134599398899,,,,632_0,255,0,0,0,POINT (6.631438 46.523341)
108,181,6.631382631632068,46.52350178476777,0.09043727678612491,-1,True,intersect_87,false,0.9962113170513641,,,,632_0,255,0,0,4.521863839306246,POINT (6.631383 46.523502)
109,77,6.631564106592164,46.523182010303756,0.33727295484419617,5586-48_0_4,True,3520685572,false,0.9962145565551794,,,,632_0,255,0,0,16.863647742209807,POINT (6.631564 46.523182)
110,151,6.630974653759716,46.523749699333955,0.07182580904011954,-1,True,intersect_55,false,0.996205525283753,,,,632_0,255,0,0,3.591290452005977,POINT (6.630975 46.52375)
111,170,6.629423466008343,46.522555443495214,0.08554225876740242,-1,True,81,false,0.9967326941257743,False,False,632.0,632_0,255,0,0,4.277112938370121,POINT (6.629423 46.522555)
112,59,6.617448806575997,46.52420031030717,0,-1,False,598646683,false,0.9959673300686442,,,,632_0,255,0,0,0,POINT (6.617449 46.5242)
113,60,6.616162106574497,46.52439721030751,0,-1,False,568000964,false,0.9966739544804641,,,,632_0,255,0,0,0,POINT (6.616162 46.524397)
114,129,6.616130606574477,46.524332510307495,0.11946053085125087,-1,True,intersect_43,false,0.9967087291702613,,,,632_0,255,0,0,5.973026542562543,POINT (6.616131 46.524333)
115,62,6.620573706579788,46.52290141030592,0,-1,False,2303917904,false,0.9988914037711542,,,,632_0,255,0,0,0,POINT (6.620574 46.522901)
116,132,6.62034531657439,46.52291759698185,0.3336006815531074,-1,True,intersect_47,false,0.9988812006963294,,,,632_0,255,0,0,16.68003407765537,POINT (6.620345 46.522918)
117,63,6.618916706577958,46.52263631030613,0,-1,False,591934492,false,0.9983558281275428,,,,632_0,255,0,0,0,POINT (6.618917 46.522636)
118,136,6.61891470657804,46.52223391030594,0,-1,False,591934488,false,0.9983788941045529,,,,632_0,255,0,0,0,POINT (6.618915 46.522234)
119,64,6.619001106577919,46.52332961030643,0,-1,False,8450775930,false,0.9983356670395737,,,,632_0,255,0,0,0,POINT (6.619001 46.52333)
120,135,6.618480814806601,46.52263837754801,0.3202358471052114,-1,True,intersect_48,false,0.9983421816590942,,,,632_0,255,0,0,16.01179235526057,POINT (6.618481 46.522638)
121,140,6.618624982790263,46.523334399340015,0.08592491025748149,-1,True,intersect_50,false,0.9983325093220546,,,,632_0,255,0,0,4.296245512874075,POINT (6.618625 46.523334)
122,76,6.61538430657379,46.523506810307296,0,-1,False,4553078971,false,0.997486026240432,,,,632_0,255,0,0,0,POINT (6.615384 46.523507)
123,133,6.6203423065795235,46.52291781030596,0,-1,False,2303792182,false,0.9988811648703457,,,,632_0,255,0,0,0,POINT (6.620342 46.522918)
124,138,6.618662364160041,46.52223918541408,0.1988391196707641,-1,True,intersect_49,false,0.998388875523761,,,,632_0,255,0,0,9.941955983538204,POINT (6.618662 46.522239)
125,66,6.616769206575531,46.52265221030658,0.3481815588354565,5586-35_0_4,True,564336944,false,0.998157377033673,,,,632_0,255,0,0,17.409077941772825,POINT (6.616769 46.522652)
126,67,6.616771206575458,46.52301521030679,0,-1,False,564336950,false,0.9980690776017724,,,,632_0,255,0,0,0,POINT (6.616771 46.523015)
127,68,6.616746906575576,46.52227591030642,0,-1,False,564336938,false,0.9981873750482817,,,,632_0,255,0,0,0,POINT (6.616747 46.522276)
128,70,6.617744106576495,46.52334561030672,0,-1,False,9751075315,false,0.9980554801386425,,,,632_0,255,0,0,0,POINT (6.617744 46.523346)
129,130,6.6158542507274865,46.52349842120797,0.21536020523862542,-1,True,intersect_44,false,0.9976568367495923,,,,632_0,255,0,0,10.768010261931272,POINT (6.615854 46.523498)
130,71,6.616555428644815,46.52228019528583,0.09004987742453757,-1,True,intersect_83,false,0.9981979018265397,,,,632_0,255,0,0,4.5024938712268785,POINT (6.616555 46.52228)
131,69,6.617565406576508,46.52226211030619,0,-1,False,568000921,false,0.9984037131675931,,,,632_0,255,0,0,0,POINT (6.617565 46.522262)
132,137,6.618025761649331,46.52225249081606,0.14263195369700934,-1,True,intersect_88,false,0.9984301588265705,,,,632_0,255,0,0,7.131597684850467,POINT (6.618026 46.522252)
133,167,6.6172991675832735,46.521793946956194,0.11082985315848547,-1,True,intersect_67,false,0.9983170838951607,,,,632_0,255,0,0,5.541492657924273,POINT (6.617299 46.521794)
134,141,6.618020833592629,46.52334208912107,0.09595703357496027,-1,True,intersect_84,false,0.9980528840044168,,,,632_0,255,0,0,4.797851678748014,POINT (6.618021 46.523342)
135,75,6.6165630065754595,46.521817610306236,0,-1,False,563021186,false,0.9982757721616933,,,,632_0,255,0,0,0,POINT (6.616563 46.521818)
136,139,6.618562557640625,46.522241271670815,0.07106004053965395,-1,True,intersect_90,false,0.9983947640916349,,,,632_0,255,0,0,3.5530020269826976,POINT (6.618563 46.522241)
137,72,6.61809730657726,46.52150081030578,0.32527540849858627,5586-36_0_5,True,4174410504,false,0.998583001903792,,,,632_0,255,0,0,16.263770424929312,POINT (6.618097 46.521501)
138,177,6.631599404820894,46.52323628410418,0.07756678735547445,-1,True,intersect_82,false,0.996211649322061,,,,632_0,255,0,0,3.8783393677737226,POINT (6.631599 46.523236)
139,82,6.626426306586466,46.522600110304516,0.34362909165534716,5586-83_0_5,True,277945154,false,0.9951515137437656,,,,632_0,255,0,0,17.18145458276736,POINT (6.626426 46.5226)
140,83,6.62680150658682,46.52296151030463,0,-1,False,277945167,false,0.9951845395080361,,,,632_0,255,0,0,0,POINT (6.626802 46.522962)
141,85,6.62648780658644,46.523085010304776,0,-1,False,277945163,false,0.9949445687988472,,,,632_0,255,0,0,0,POINT (6.626488 46.523085)
142,88,6.62782700658798,46.5229594103044,0,-1,False,430797302,false,0.9955607904090449,,,,632_0,255,0,0,0,POINT (6.627827 46.522959)
143,84,6.626838806586798,46.52328451030476,0,-1,False,277945176,false,0.994847273381369,,,,632_0,255,0,0,0,POINT (6.626839 46.523285)
144,92,6.627046906587008,46.523414210304786,0.292273585039952,5586-85_0_4,True,258755801,false,0.9948249631544789,,,,632_0,255,0,0,14.613679251997599,POINT (6.627047 46.523414)
145,185,6.626212938275034,46.52315586847915,0.07011150680689791,-1,True,intersect_93,false,0.9949317406203957,,,,632_0,255,0,0,3.5055753403448957,POINT (6.626213 46.523156)
146,87,6.627584406587797,46.52250901030427,0,-1,False,253488449,false,0.995533358808078,,,,632_0,255,0,0,0,POINT (6.627584 46.522509)
147,182,6.627519893155129,46.52237729280209,0.10971067011981445,-1,True,intersect_89,false,0.9955257384739933,,,,632_0,255,0,0,5.485533505990722,POINT (6.62752 46.522377)
148,89,6.628007406588143,46.523173810304456,0.3188510431826687,5586-84_0_5,True,276784944,false,0.9956712428948196,,,,632_0,255,0,0,15.942552159133436,POINT (6.628007 46.523174)
149,96,6.6266376065865025,46.52363121030498,0,-1,False,8832720771,false,0.9947719159768639,,,,632_0,255,0,0,0,POINT (6.626638 46.523631)
150,196,6.626654606586514,46.523665010304995,0.1613777397947414,-1,True,9827004461,false,0.9947710949669308,,,,632_0,255,0,0,8.06888698973707,POINT (6.626655 46.523665)
151,93,6.627200706587165,46.523502010304775,0,-1,False,8832720780,false,0.99481479685544,,,,632_0,255,0,0,0,POINT (6.627201 46.523502)
152,148,6.625807906585637,46.523261010305,0,-1,False,277945181,false,0.9949157913533774,,,,632_0,255,0,0,0,POINT (6.625808 46.523261)
