Period,Time,grid_node,Domestic_electricity,House_Q_DHW,T_in,House_Q_heating,House_Q_cooling,Th_supply,Th_return,HeatGains,SolarGains,PV_production,PV_curtailment
6,19,134.0,77.73143595947136,2.6599534500000006,39.28728923935,0.0,0.0,42.084799022074975,40.72319934804999,78.14149513067136,125.82808657193621,9.42345336422,0.0
6,19,140.0,110.33735873995236,22.04593766852696,51.243804873900004,0.0,0.0,38.32613293,38.32613293,105.09945346696304,238.1278813011826,8.81194280447,0.0
6,19,141.0,159.8451188715866,10.9741302,111.88127573199,0.0,0.0,40.0,40.0,188.7487724907866,158.33889350739855,8.39116980312,0.0
6,19,143.0,77.48606809244923,0.0,40.067477416870005,0.0,0.0,38.03286339,38.03286339,50.276911078049224,143.6086775965324,3.84480628759,0.0
6,19,151.0,44.770683998070155,40.27453571954484,43.29342184744,0.0,0.0,39.51864127,39.51864127,18.142292702995455,167.95202002922116,2.9115910942500003,0.0
6,19,152.0,116.55446793495787,82.93951146729569,92.70632794366,0.0,0.0,60.0,60.0,71.67665743772228,820.3024875236492,6.963451947909999,0.0
6,19,154.0,5.142104245544131,0.0,45.7992856197,0.0,0.0,43.624792899757935,43.05800467891214,5.15294878954413,17.080515049144406,1.79236589174,0.0
6,19,155.0,13.29635532208157,0.0,65.32332036615,0.0,0.0,66.76100763335195,65.73420855894196,14.92024364848157,20.092856039125444,3.59751885376,0.0
6,19,157.0,27.48242621247303,21.160955096430165,45.06511944358,0.0,0.0,39.73390349,39.73390349,15.084274095306762,74.22880921289475,2.38961071618,0.0
6,19,160.0,30.274273000512608,28.34155644801428,61.88200950663,0.0,0.0,64.09895501142996,62.665499047619974,8.43301211607887,51.26830528727923,2.5802442867599997,0.0
6,19,168.0,101.39984407299619,89.92746423713905,52.06758320099,0.0,0.0,40.0,40.0,48.92939196337323,432.2985391375345,5.28758214884,0.0
6,19,171.0,138.43516990508647,37.20323406606974,63.72673655381,0.0,0.0,20.0,20.0,134.02727529839316,1305.2829590395236,8.89354226619,0.0
6,19,173.0,134.6799214870245,95.43014919645246,161.54368071945999,0.0,0.0,140.75344697789745,140.40089984193162,78.41493262919319,1387.464509737658,10.02376708915,0.0
6,19,192.0,15.751140938308868,13.444640785363674,62.11993899529,0.0,0.0,61.875945434391404,61.25063028959427,4.25299372288718,23.47984044199176,1.9958150267399999,0.0
6,19,193.0,20.80706444860006,0.9025247000000004,20.50717402622,0.0,0.0,22.276112943035447,21.517408628690298,22.796937088600064,57.7215030544887,2.37603090113,0.0
6,19,195.0,18.611344079652312,0.8072834000000002,20.31802313131,0.0,0.0,24.57818943655015,23.052126291033435,20.39123015965232,16.799540067958056,2.77332505557,0.0
6,19,196.0,48.66697827493046,3.3412203000000003,63.39287446901,0.0,0.0,20.0,20.0,57.46708110373047,116.98534637946328,3.51749394972,0.0
6,20,1.0,1.5520074914225888,0.0,23.89239193127,0.0,0.0,21.3769828558067,20.299222369910943,0.5966728034225888,0.4369012520269296,0.0,0.0
6,20,2.0,4.7178752857329345,3.9740776439089687,79.77920983385,0.0,0.0,78.62193680002699,72.41462453335133,0.5783551353714884,0.948642437082782,0.0,0.0
6,20,5.0,24.813588470745117,28.625352521195886,84.18751651139999,0.0,0.0,106.83641235637418,97.89094157091614,4.175722832190893,1.7479558895384568,0.0,0.0
6,20,6.0,18.07248343341447,20.8487059348505,25.6190603303,0.0,0.0,25.582248817617234,23.721499211744824,3.041304638233743,3.3917681583251658,0.0,0.0
6,20,10.0,0.3442490035493496,0.0598947555555555,31.74231759494,0.0,0.0,20.0,20.0,0.6680675635493497,0.0545363303977187,0.0,0.0
6,20,11.0,42.083936536438884,40.635158411423454,133.69682282795998,0.0,0.0,94.21198416335653,89.42279710996296,13.145153182607551,6.805899357183119,0.0,0.0
6,20,13.0,6.747976704035364,7.78457385095939,20.82169496449,0.0,0.0,26.824549058417965,24.54969937227865,1.1355745835534357,0.3439178109841399,0.0,0.0
6,20,16.0,154.63818540618595,168.8982998661311,312.06753878667,0.0,0.0,403.4765605443285,368.95801659787975,24.828531221896778,10.82627714020597,0.0,0.0
6,20,17.0,2.9871539381107794,3.3117313699241406,42.30509086355,0.0,0.0,53.610689645161315,49.07379309677421,0.4819626128095735,0.1807400089496853,0.0,0.0
6,20,19.0,9.105887188546486,0.0,23.57415662012,0.0,0.0,25.54939996248604,23.513067022814116,0.9839591085464852,3.3961715102891654,0.0,0.0
6,20,20.0,6.28825824,0.0,67.55211927411,0.0,0.0,82.40822069431252,74.93881379620835,0.0,1.9417026293819444,0.0,0.0
6,20,21.0,29.12374035735881,33.4482070504239,21.08869511825,0.0,0.0,26.634445161583034,24.42296344105536,4.877992694708205,2.4103068245394508,0.0,0.0
6,20,22.0,87.61202353270889,98.88626157211,243.79801924702,0.0,0.0,290.43589315827705,266.8242445936715,14.940741883281506,10.171310712715252,0.0,0.0
6,20,23.0,94.19158182610487,105.01555198572062,289.42902159531,0.0,0.0,343.0374623649895,315.28111868084625,16.448848592369917,11.905954360502868,0.0,0.0
